subset,class,num_roots,root_lower_bound,cert_radius,residual,cond_J,completeness_status,trace_status,candidate_source,agree_status,notes
"[1, 2, 3, 4, 5, 6]",UNRESOLVED_NO_CANDIDATE,0,0,,,,not_attempted,not_run,none,not_run,dryrun:no_candidate_supplied|CENSUS_CHECKPOINT_LAYER1:from_baseline|CENSUS_CHECKPOINT_LAYER1_R2:from_baseline
"[1, 2, 3, 4, 5, 7]",UNRESOLVED_NO_CANDIDATE,0,0,,,,not_attempted,not_run,none,not_run,dryrun:no_candidate_supplied|CENSUS_CHECKPOINT_LAYER1:from_baseline|CENSUS_CHECKPOINT_LAYER1_R2:from_baseline
"[1, 2, 3, 4, 5, 8]",UNRESOLVED_NO_CANDIDATE,0,0,,,,not_attempted,not_run,none,not_run,dryrun:no_candidate_supplied|CENSUS_CHECKPOINT_LAYER1:from_baseline|CENSUS_CHECKPOINT_LAYER1_R2:from_baseline
"[1, 2, 3, 4, 5, 9]",UNRESOLVED_NO_CANDIDATE,0,0,,,,not_attempted,not_run,none,not_run,dryrun:no_candidate_supplied|CENSUS_CHECKPOINT_LAYER1:from_baseline|CENSUS_CHECKPOINT_LAYER1_R2:from_baseline
"[1, 2, 3, 4, 5, 10]",UNRESOLVED_NO_CANDIDATE,0,0,,,,not_attempted,not_run,none,not_run,dryrun:no_candidate_supplied|CENSUS_CHECKPOINT_LAYER1:from_baseline|CENSUS_CHECKPOINT_LAYER1_R2:from_baseline
"[1, 2, 3, 4, 5, 11]",UNRESOLVED_NO_CANDIDATE,0,0,,,,not_attempted,not_run,none,not_run,dryrun:no_candidate_supplied|CENSUS_CHECKPOINT_LAYER1:from_baseline|CENSUS_CHECKPOINT_LAYER1_R2:from_baseline
"[1, 2, 3, 4, 5, 12]",UNRESOLVED_NO_CANDIDATE,0,0,,,,not_attempted,not_run,none,not_run,dryrun:no_candidate_supplied|CENSUS_CHECKPOINT_LAYER1:from_baseline|CENSUS_CHECKPOINT_LAYER1_R2:from_baseline
"[1, 2, 3, 4, 5, 13]",UNRESOLVED_NO_CANDIDATE,0,0,,,,not_attempted,not_run,none,not_run,dryrun:no_candidate_supplied|CENSUS_CHECKPOINT_LAYER1:from_baseline|CENSUS_CHECKPOINT_LAYER1_R2:from_baseline
"[1, 2, 3, 4, 5, 14]",UNRESOLVED_NO_CANDIDATE,0,0,,,,not_attempted,not_run,none,not_run,dryrun:no_candidate_supplied|CENSUS_CHECKPOINT_LAYER1:from_baseline|CENSUS_CHECKPOINT_LAYER1_R2:from_baseline
"[1, 2, 3, 4, 5, 15]",UNRESOLVED_NO_CANDIDATE,0,0,,,,not_attempted,not_run,none,not_run,dryrun:no_candidate_supplied|CENSUS_CHECKPOINT_LAYER1:from_baseline|CENSUS_CHECKPOINT_LAYER1_R2:from_baseline
"[1, 2, 3, 4, 5, 16]",UNRESOLVED_NO_CANDIDATE,0,0,,,,not_attempted,not_run,none,not_run,dryrun:no_candidate_supplied|CENSUS_CHECKPOINT_LAYER1:from_baseline|CENSUS_CHECKPOINT_LAYER1_R2:from_baseline
"[1, 2, 3, 4, 5, 17]",UNRESOLVED_NO_CANDIDATE,0,0,,,,not_attempted,not_run,none,not_run,dryrun:no_candidate_supplied|CENSUS_CHECKPOINT_LAYER1:from_baseline|CENSUS_CHECKPOINT_LAYER1_R2:from_baseline
"[1, 2, 3, 4, 5, 18]",UNRESOLVED_NO_CANDIDATE,0,0,,,,not_attempted,not_run,none,not_run,dryrun:no_candidate_supplied|CENSUS_CHECKPOINT_LAYER1:from_baseline|CENSUS_CHECKPOINT_LAYER1_R2:from_baseline
"[1, 2, 3, 4, 5, 19]",UNRESOLVED_NO_CANDIDATE,0,0,,,,not_attempted,not_run,none,not_run,dryrun:no_candidate_supplied|CENSUS_CHECKPOINT_LAYER1:from_baseline|CENSUS_CHECKPOINT_LAYER1_R2:from_baseline
