idx,subset,complete,feasible,cert,boxes,peak_queue,max_depth,dom_excl,unresolved,downgrade,secs
2,"(1, 2, 3, 4, 7)",True,0,0,1431,12,14,0,0,,7.8
4,"(1, 2, 3, 4, 9)",True,0,0,1305,14,19,0,0,,7.1
1,"(1, 2, 3, 4, 6)",True,0,0,2953,12,15,0,0,,16.1
3,"(1, 2, 3, 4, 8)",True,1,1,6847,17,29,0,0,,44.4
0,"(1, 2, 3, 4, 5)",True,0,0,9249,17,24,0,0,,50.7
7,"(1, 2, 3, 4, 12)",True,0,0,2233,12,15,0,0,,12.2
5,"(1, 2, 3, 4, 10)",True,1,1,10311,17,25,0,0,,67.1
8,"(1, 2, 3, 4, 13)",True,0,0,7397,14,20,0,0,,40.3
6,"(1, 2, 3, 4, 11)",True,1,1,11287,18,34,0,0,,77.8
11,"(1, 2, 3, 4, 16)",True,0,0,2609,12,17,0,0,,14.1
13,"(1, 2, 3, 4, 18)",True,0,0,1593,10,23,0,0,,8.7
12,"(1, 2, 3, 4, 17)",True,0,0,4261,12,15,0,0,,23.2
15,"(1, 2, 3, 4, 20)",True,0,0,1119,12,14,0,0,,6.0
10,"(1, 2, 3, 4, 15)",True,0,0,9169,18,24,0,0,,49.9
9,"(1, 2, 3, 4, 14)",True,0,0,13719,17,24,0,0,,84.1
17,"(1, 2, 3, 5, 7)",True,0,0,1731,12,13,0,0,,9.4
14,"(1, 2, 3, 4, 19)",True,1,1,4267,17,28,0,0,,28.7
16,"(1, 2, 3, 5, 6)",True,0,0,4185,13,16,0,0,,22.8
19,"(1, 2, 3, 5, 9)",True,0,0,1431,14,20,0,0,,7.8
22,"(1, 2, 3, 5, 12)",True,0,0,2381,13,15,0,0,,12.9
18,"(1, 2, 3, 5, 8)",True,1,1,6699,19,25,0,0,,42.1
23,"(1, 2, 3, 5, 13)",True,0,0,4533,13,16,0,0,,24.6
20,"(1, 2, 3, 5, 10)",True,1,1,9959,18,24,0,0,,63.5
21,"(1, 2, 3, 5, 11)",True,1,1,10261,20,24,0,0,,66.0
26,"(1, 2, 3, 5, 16)",True,0,0,3311,14,17,0,0,,22.6
27,"(1, 2, 3, 5, 17)",True,0,0,4341,13,15,0,0,,25.8
28,"(1, 2, 3, 5, 18)",True,0,0,2181,11,24,0,0,,12.1
30,"(1, 2, 3, 5, 20)",True,0,0,1681,13,17,0,0,,9.1
29,"(1, 2, 3, 5, 19)",True,1,1,4005,17,24,0,0,,25.3
31,"(1, 2, 3, 6, 7)",True,0,0,4637,17,24,0,0,,25.6
32,"(1, 2, 3, 6, 8)",True,0,0,3511,16,20,0,0,,19.0
33,"(1, 2, 3, 6, 9)",True,0,0,2053,17,24,0,0,,11.2
34,"(1, 2, 3, 6, 10)",True,0,0,4349,12,20,0,0,,23.6
35,"(1, 2, 3, 6, 11)",True,0,0,3523,14,18,0,0,,19.1
24,"(1, 2, 3, 5, 14)",True,0,0,18729,20,24,0,0,,129.1
37,"(1, 2, 3, 6, 13)",True,0,0,2793,13,14,0,0,,15.1
36,"(1, 2, 3, 6, 12)",True,0,0,4211,15,24,0,0,,22.9
38,"(1, 2, 3, 6, 14)",True,0,0,4171,13,16,0,0,,22.7
39,"(1, 2, 3, 6, 15)",True,0,0,4447,13,16,0,0,,24.0
25,"(1, 2, 3, 5, 15)",True,1,1,20767,21,29,0,0,,159.4
40,"(1, 2, 3, 6, 16)",True,0,0,5363,16,20,0,0,,29.1
43,"(1, 2, 3, 6, 19)",True,0,0,2299,13,23,0,0,,12.5
41,"(1, 2, 3, 6, 17)",True,0,0,4451,13,15,0,0,,24.2
42,"(1, 2, 3, 6, 18)",True,0,0,3035,16,24,0,0,,16.6
46,"(1, 2, 3, 7, 9)",True,0,0,1497,18,24,0,0,,8.1
45,"(1, 2, 3, 7, 8)",True,0,0,1727,15,18,0,0,,9.3
47,"(1, 2, 3, 7, 10)",True,0,0,1803,12,17,0,0,,9.7
