idx,subset
0,"[1, 2, 3, 4, 5, 6]"
1,"[1, 2, 3, 4, 5, 7]"
2,"[1, 2, 3, 4, 5, 8]"
3,"[1, 2, 3, 4, 5, 9]"
4,"[1, 2, 3, 4, 5, 10]"
5,"[1, 2, 3, 4, 5, 11]"
6,"[1, 2, 3, 4, 5, 12]"
7,"[1, 2, 3, 4, 5, 13]"
8,"[1, 2, 3, 4, 5, 14]"
9,"[1, 2, 3, 4, 5, 15]"
10,"[1, 2, 3, 4, 5, 16]"
11,"[1, 2, 3, 4, 5, 17]"
12,"[1, 2, 3, 4, 5, 18]"
13,"[1, 2, 3, 4, 5, 19]"
14,"[1, 2, 3, 4, 5, 20]"
15,"[1, 2, 3, 4, 6, 7]"
16,"[1, 2, 3, 4, 6, 8]"
17,"[1, 2, 3, 4, 6, 9]"
18,"[1, 2, 3, 4, 6, 10]"
19,"[1, 2, 3, 4, 6, 11]"
20,"[1, 2, 3, 4, 6, 12]"
21,"[1, 2, 3, 4, 6, 13]"
22,"[1, 2, 3, 4, 6, 14]"
23,"[1, 2, 3, 4, 6, 15]"
24,"[1, 2, 3, 4, 6, 16]"
25,"[1, 2, 3, 4, 6, 17]"
26,"[1, 2, 3, 4, 6, 18]"
27,"[1, 2, 3, 4, 6, 19]"
28,"[1, 2, 3, 4, 6, 20]"
29,"[1, 2, 3, 4, 7, 8]"
30,"[1, 2, 3, 4, 7, 9]"
31,"[1, 2, 3, 4, 7, 10]"
32,"[1, 2, 3, 4, 7, 11]"
33,"[1, 2, 3, 4, 7, 12]"
34,"[1, 2, 3, 4, 7, 13]"
35,"[1, 2, 3, 4, 7, 14]"
36,"[1, 2, 3, 4, 7, 15]"
37,"[1, 2, 3, 4, 7, 16]"
38,"[1, 2, 3, 4, 7, 17]"
39,"[1, 2, 3, 4, 7, 18]"
40,"[1, 2, 3, 4, 7, 19]"
41,"[1, 2, 3, 4, 7, 20]"
42,"[1, 2, 3, 4, 8, 9]"
43,"[1, 2, 3, 4, 8, 10]"
44,"[1, 2, 3, 4, 8, 11]"
45,"[1, 2, 3, 4, 8, 12]"
46,"[1, 2, 3, 4, 8, 13]"
47,"[1, 2, 3, 4, 8, 14]"
48,"[1, 2, 3, 4, 8, 15]"
49,"[1, 2, 3, 4, 8, 16]"
50,"[1, 2, 3, 4, 8, 17]"
51,"[1, 2, 3, 4, 8, 18]"
52,"[1, 2, 3, 4, 8, 19]"
53,"[1, 2, 3, 4, 8, 20]"
54,"[1, 2, 3, 4, 9, 10]"
55,"[1, 2, 3, 4, 9, 11]"
56,"[1, 2, 3, 4, 9, 12]"
57,"[1, 2, 3, 4, 9, 13]"
58,"[1, 2, 3, 4, 9, 14]"
59,"[1, 2, 3, 4, 9, 15]"
60,"[1, 2, 3, 4, 9, 16]"
61,"[1, 2, 3, 4, 9, 17]"
62,"[1, 2, 3, 4, 9, 18]"
63,"[1, 2, 3, 4, 9, 19]"
64,"[1, 2, 3, 4, 9, 20]"
65,"[1, 2, 3, 4, 10, 11]"
66,"[1, 2, 3, 4, 10, 12]"
67,"[1, 2, 3, 4, 10, 13]"
68,"[1, 2, 3, 4, 10, 14]"
69,"[1, 2, 3, 4, 10, 15]"
70,"[1, 2, 3, 4, 10, 16]"
71,"[1, 2, 3, 4, 10, 17]"
72,"[1, 2, 3, 4, 10, 18]"
73,"[1, 2, 3, 4, 10, 19]"
74,"[1, 2, 3, 4, 10, 20]"
75,"[1, 2, 3, 4, 11, 12]"
76,"[1, 2, 3, 4, 11, 13]"
77,"[1, 2, 3, 4, 11, 14]"
78,"[1, 2, 3, 4, 11, 15]"
79,"[1, 2, 3, 4, 11, 16]"
80,"[1, 2, 3, 4, 11, 17]"
81,"[1, 2, 3, 4, 11, 18]"
82,"[1, 2, 3, 4, 11, 19]"
83,"[1, 2, 3, 4, 11, 20]"
84,"[1, 2, 3, 4, 12, 13]"
85,"[1, 2, 3, 4, 12, 14]"
86,"[1, 2, 3, 4, 12, 15]"
87,"[1, 2, 3, 4, 12, 16]"
88,"[1, 2, 3, 4, 12, 17]"
89,"[1, 2, 3, 4, 12, 18]"
90,"[1, 2, 3, 4, 12, 19]"
91,"[1, 2, 3, 4, 12, 20]"
92,"[1, 2, 3, 4, 13, 14]"
93,"[1, 2, 3, 4, 13, 15]"
94,"[1, 2, 3, 4, 13, 16]"
95,"[1, 2, 3, 4, 13, 17]"
96,"[1, 2, 3, 4, 13, 18]"
97,"[1, 2, 3, 4, 13, 19]"
98,"[1, 2, 3, 4, 13, 20]"
99,"[1, 2, 3, 4, 14, 15]"
100,"[1, 2, 3, 4, 14, 16]"
101,"[1, 2, 3, 4, 14, 17]"
102,"[1, 2, 3, 4, 14, 18]"
103,"[1, 2, 3, 4, 14, 19]"
104,"[1, 2, 3, 4, 14, 20]"
105,"[1, 2, 3, 4, 15, 16]"
106,"[1, 2, 3, 4, 15, 17]"
107,"[1, 2, 3, 4, 15, 18]"
108,"[1, 2, 3, 4, 15, 19]"
109,"[1, 2, 3, 4, 15, 20]"
110,"[1, 2, 3, 4, 16, 17]"
111,"[1, 2, 3, 4, 16, 18]"
112,"[1, 2, 3, 4, 16, 19]"
113,"[1, 2, 3, 4, 16, 20]"
114,"[1, 2, 3, 4, 17, 18]"
115,"[1, 2, 3, 4, 17, 19]"
116,"[1, 2, 3, 4, 17, 20]"
117,"[1, 2, 3, 4, 18, 19]"
118,"[1, 2, 3, 4, 18, 20]"
119,"[1, 2, 3, 4, 19, 20]"
120,"[1, 2, 3, 5, 6, 7]"
121,"[1, 2, 3, 5, 6, 8]"
122,"[1, 2, 3, 5, 6, 9]"
123,"[1, 2, 3, 5, 6, 10]"
124,"[1, 2, 3, 5, 6, 11]"
125,"[1, 2, 3, 5, 6, 12]"
126,"[1, 2, 3, 5, 6, 13]"
127,"[1, 2, 3, 5, 6, 14]"
128,"[1, 2, 3, 5, 6, 15]"
129,"[1, 2, 3, 5, 6, 16]"
130,"[1, 2, 3, 5, 6, 17]"
131,"[1, 2, 3, 5, 6, 18]"
132,"[1, 2, 3, 5, 6, 19]"
133,"[1, 2, 3, 5, 6, 20]"
134,"[1, 2, 3, 5, 7, 8]"
135,"[1, 2, 3, 5, 7, 9]"
136,"[1, 2, 3, 5, 7, 10]"
137,"[1, 2, 3, 5, 7, 11]"
138,"[1, 2, 3, 5, 7, 12]"
139,"[1, 2, 3, 5, 7, 13]"
140,"[1, 2, 3, 5, 7, 14]"
141,"[1, 2, 3, 5, 7, 15]"
